"Statistic class name:";"Exchange Rate on Forex Market - monthly values";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Observations";" The average monthly exchange rate is calculated as a simple arithmetic mean of daily exchange rates on the forex market communicated by the NBR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Note";" available series from January 2005; for Jan.-June 2005 the values are extrapolated based on cotations in ROL (the  currency circulating before the denomination)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Metodology";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Date";"Australian dollar, average";"Bulgarian lev, average";"Canadian dollar, average";"Swiss franc, average";"Czech koruna, average";"Danish krone, average";"Egyptian pound, average";"Euro, average";"Pound sterling, average";"Hungarian forint, average";"Japanese yen, average";"Moldavian leu, average";"Norwegian krone, average";"Polish zloty, average";"Russian rouble, average";"Swedish krona, average";"Slovak crown , average";"Turkish lira, average";"US dollar, average";"South African rand, average";"Brazilian real, average";"Chinese renminbi, average";"Indian rupee, average";"South Korean wons, average";"Mexican peso, average";"New Zealand dollar, average";"Serbian dinar, average";"Ukrainian hryvnia, average";"United Arab Emirates dirham, average";"Croatian kuna, average";"Thai baht, average";"Hong Kong dollar, average";"Israeli shekel, average";"Indonesian rupiah, average";"Philippine peso, average";"Icelandic krona, average";"Malaysian ringgit, average";"Singapore dollar, average";"Gold (gr.), average";"SDR, average";"Australian dollar, end of period";"Bulgarian lev, end of period";"Canadian dollar, end of period";"Swiss franc, end of period";"Czech koruna, end of period";"Danish krone, end of period";"Egyptian pound, end of period";"Euro, end of period";"Pound sterling, end of period";"Hungarian forint, end of period";"Japanese yen, end of period";"Moldavian leu, end of period";"Norwegian krone, end of period";"Polish zloty, end of period";"Russian rouble, end of period";"Swedish krona, end of period";"Slovak crown , end of period";"Turkish lira, end of period";"US dollar, end of period";"South African rand, end of period";"Brazilian real, end of period";"Chinese renminbi, end of period";"Indian rupee, end of period";"South Korean wons, end of period";"Mexican peso, end of period";"New Zealand dollar, end of period";"Serbian dinar, end of period";"Ukrainian hryvnia, end of period";"United Arab Emirates dirham, end of period";"Croatian kuna, end of period";"Thai baht, end of period";"Hong Kong dollar, end of period";"Israeli shekel, end of period";"Indonesian rupiah, end of period";"Philippine peso, end of period";"Icelandic krona, end of period";"Malaysian ringgit, end of period";"Singapore dollar, end of period";"Gold (gr.), end of period";"SDR, end of period"
"";"(RON/AUD)";"(RON/BGN)";"(RON/CAD)";"(RON/CHF)";"(RON/CZK)";"(RON/DKK)";"(RON/EGP)";"(RON/EUR)";"(RON/GBP)";"(RON/HUF)";"(RON/JPY)";"(RON/MDL)";"(RON/NOK)";"(RON/PLN)";"(RON/RUB)";"(RON/SEK)";"(RON/SKK)";"(RON/TRY)";"(RON/USD)";"(RON/ZAR)";"(RON/BRL)";"(RON/CNY)";"(RON/INR)";"(RON/KRW)";"(RON/MXN)";"(RON/NZD)";"(RON/RSD)";"(RON/UAH)";"(RON/AED)";"(RON/HRK)";"(RON/THB)";"(RON/HKD)";"(RON/ILS)";"(RON/IDR)";"(RON/PHP)";"(RON/ISK)";"(RON/MYR)";"(RON/SGD)";"(RON/XAU)";"(RON/XDR)";"(RON/AUD)";"(RON/BGN)";"(RON/CAD)";"(RON/CHF)";"(RON/CZK)";"(RON/DKK)";"(RON/EGP)";"(RON/EUR)";"(RON/GBP)";"(RON/HUF)";"(RON/JPY)";"(RON/MDL)";"(RON/NOK)";"(RON/PLN)";"(RON/RUB)";"(RON/SEK)";"(RON/SKK)";"(RON/TRY)";"(RON/USD)";"(RON/ZAR)";"(RON/BRL)";"(RON/CNY)";"(RON/INR)";"(RON/KRW)";"(RON/MXN)";"(RON/NZD)";"(RON/RSD)";"(RON/UAH)";"(RON/AED)";"(RON/HRK)";"(RON/THB)";"(RON/HKD)";"(RON/ILS)";"(RON/IDR)";"(RON/PHP)";"(RON/ISK)";"(RON/MYR)";"(RON/SGD)";"(RON/XAU)";"(RON/XDR)"
"";"CURSL_AUDM";"CURSL_BGNM";"CURSL_CADM";"CURSL_CHFM";"CURSL_CZKM";"CURSL_DKKM";"CURSL_EGPM";"CURSL_EURM";"CURSL_GBPM";"CURSL_HUFM";"CURSL_JPYM";"CURSL_MDLM";"CURSL_NOKM";"CURSL_PLNM";"CURSL_RUBM";"CURSL_SEKM";"CURSL_SKKM";"CURSL_TRYM";"CURSL_USDM";"CURSL_ZARM";"CURSL_BRLM";"CURSL_CNYM";"CURSL_INRM";"CURSL_KRWM";"CURSL_MXNM";"CURSL_NZDM";"CURSL_RSDM";"CURSL_UAHM";"CURSL_AEDM";"CURSL_HRKM";"CURSL_THBM";"CURSL_HKDM";"CURSL_ILSM";"CURSL_IDRM";"CURSL_PHPM";"CURSL_ISKM";"CURSL_MYRM";"CURSL_SGDM";"CURSL_XAUM";"CURSL_XDRM";"CURSL_AUDF";"CURSL_BGNF";"CURSL_CADF";"CURSL_CHFF";"CURSL_CZKF";"CURSL_DKKF";"CURSL_EGPF";"CURSL_EURF";"CURSL_GBPF";"CURSL_HUFF";"CURSL_JPYF";"CURSL_MDLF";"CURSL_NOKF";"CURSL_PLNF";"CURSL_RUBF";"CURSL_SEKF";"CURSL_SKKF";"CURSL_TRYF";"CURSL_USDF";"CURSL_ZARF";"CURSL_BRLF";"CURSL_CNYF";"CURSL_INRF";"CURSL_KRWF";"CURSL_MXNF";"CURSL_NZDF";"CURSL_RSDF";"CURSL_UAHF";"CURSL_AEDF";"CURSL_HRKF";"CURSL_THBF";"CURSL_HKDF";"CURSL_ILSF";"CURSL_IDRF";"CURSL_PHPF";"CURSL_ISKF";"CURSL_MYRF";"CURSL_SGDF";"CURSL_XAUF";"CURSL_XDRF"
"2026-04";"3.0894";"-";"3.1699";"5.5349";"0.209";"0.6822";"0.0824";"5.0978";"5.8623";"0.013772";"0.02739";"0.2521";"0.4613";"1.1986";"0.0569";"0.4703";"-";"0.0972";"4.3616";"0.263";"0.8654";"0.6377";"0.0466";"0.002939";"0.2495";"2.5468";"0.0434";"0.0996";"1.1875";"-";"0.1349";"0.5567";"1.4358";"0.000255";"0.0723";"0.035453";"1.0967";"3.416";"661.1737";"5.9706";"3.1411";"-";"3.218";"5.5821";"0.211";"0.6881";"0.082";"5.1417";"5.937";"0.014088";"0.027591";"0.2542";"0.4707";"1.2071";"0.0587";"0.474";"-";"0.0972";"4.3965";"0.2621";"0.8801";"0.6439";"0.0463";"0.002975";"0.2508";"2.5727";"0.0438";"0.1";"1.197";"-";"0.1349";"0.5611";"1.4816";"0.000254";"0.0717";"0.035706";"1.107";"3.4408";"653.5585";"6.0227"
"2026-03";"3.0954";"-";"3.2163";"5.6045";"0.2086";"0.682";"0.0848";"5.0959";"5.8811";"0.013097";"0.027788";"0.253";"0.4561";"1.1932";"0.0548";"0.4735";"-";"0.0997";"4.4096";"0.2635";"0.8435";"0.6396";"0.0475";"0.002958";"0.2483";"2.5788";"0.0434";"0.1005";"1.2006";"-";"0.1366";"0.5634";"1.4159";"0.00026";"0.074";"0.035402";"1.1156";"3.4456";"691.4087";"6.0066";"3.0489";"-";"3.1889";"5.5546";"0.2079";"0.6823";"0.0814";"5.0988";"5.8749";"0.0132";"0.027849";"0.2514";"0.4543";"1.188";"0.0547";"0.4655";"-";"0.0999";"4.4463";"0.2595";"0.8467";"0.6437";"0.0473";"0.002909";"0.2458";"2.5378";"0.0434";"0.1012";"1.2107";"-";"0.1349";"0.5672";"1.4033";"0.000262";"0.0732";"0.035556";"1.0981";"3.4451";"651.7349";"6.0338"
